(2, 1)
(3, 1)
(7, 1)
(13, 1)
(14, 1)
(15, 1)
(1, 2)
(4, 2)
(8, 2)
(14, 2)
(16, 2)
(1, 3)
(4, 3)
(5, 3)
(9, 3)
(14, 3)
(15, 3)
(16, 3)
(17, 3)
(2, 4)
(3, 4)
(6, 4)
(10, 4)
(16, 4)
(18, 4)
(3, 5)
(6, 5)
(11, 5)
(16, 5)
(17, 5)
(18, 5)
(4, 6)
(5, 6)
(12, 6)
(18, 6)
(1, 7)
(2, 8)
(3, 9)
(4, 10)
(5, 11)
(6, 12)
(1, 13)
(14, 13)
(15, 13)
(19, 13)
(1, 14)
(2, 14)
(3, 14)
(13, 14)
(16, 14)
(20, 14)
(1, 15)
(3, 15)
(13, 15)
(16, 15)
(17, 15)
(21, 15)
(2, 16)
(3, 16)
(4, 16)
(5, 16)
(14, 16)
(15, 16)
(18, 16)
(22, 16)
(3, 17)
(5, 17)
(15, 17)
(18, 17)
(23, 17)
(4, 18)
(5, 18)
(6, 18)
(16, 18)
(17, 18)
(24, 18)
(13, 19)
(14, 20)
(15, 21)
(16, 22)
(17, 23)
(18, 24)
