(2, 1)
(5, 1)
(21, 1)
(31, 1)
(32, 1)
(35, 1)
(1, 2)
(3, 2)
(6, 2)
(22, 2)
(32, 2)
(33, 2)
(36, 2)
(2, 3)
(4, 3)
(7, 3)
(23, 3)
(33, 3)
(34, 3)
(37, 3)
(3, 4)
(8, 4)
(24, 4)
(34, 4)
(38, 4)
(1, 5)
(6, 5)
(9, 5)
(25, 5)
(32, 5)
(35, 5)
(36, 5)
(39, 5)
(2, 6)
(5, 6)
(7, 6)
(10, 6)
(33, 6)
(36, 6)
(37, 6)
(40, 6)
(3, 7)
(6, 7)
(8, 7)
(11, 7)
(34, 7)
(37, 7)
(38, 7)
(41, 7)
(4, 8)
(7, 8)
(12, 8)
(38, 8)
(42, 8)
(5, 9)
(10, 9)
(13, 9)
(36, 9)
(39, 9)
(40, 9)
(43, 9)
(6, 10)
(9, 10)
(11, 10)
(14, 10)
(37, 10)
(40, 10)
(41, 10)
(44, 10)
(7, 11)
(10, 11)
(12, 11)
(15, 11)
(38, 11)
(41, 11)
(42, 11)
(45, 11)
(8, 12)
(11, 12)
(16, 12)
(42, 12)
(46, 12)
(9, 13)
(14, 13)
(17, 13)
(40, 13)
(43, 13)
(44, 13)
(47, 13)
(10, 14)
(13, 14)
(15, 14)
(18, 14)
(41, 14)
(44, 14)
(45, 14)
(48, 14)
(11, 15)
(14, 15)
(16, 15)
(19, 15)
(42, 15)
(45, 15)
(46, 15)
(49, 15)
(12, 16)
(15, 16)
(20, 16)
(26, 16)
(46, 16)
(50, 16)
(13, 17)
(18, 17)
(27, 17)
(44, 17)
(47, 17)
(48, 17)
(14, 18)
(17, 18)
(19, 18)
(28, 18)
(45, 18)
(48, 18)
(49, 18)
(15, 19)
(18, 19)
(20, 19)
(29, 19)
(46, 19)
(49, 19)
(50, 19)
(16, 20)
(19, 20)
(30, 20)
(50, 20)
(1, 21)
(2, 22)
(3, 23)
(4, 24)
(5, 25)
(16, 26)
(17, 27)
(18, 28)
(19, 29)
(20, 30)
(1, 31)
(32, 31)
(35, 31)
(51, 31)
(1, 32)
(2, 32)
(5, 32)
(31, 32)
(33, 32)
(36, 32)
(52, 32)
(2, 33)
(3, 33)
(6, 33)
(32, 33)
(34, 33)
(37, 33)
(53, 33)
(3, 34)
(4, 34)
(7, 34)
(33, 34)
(38, 34)
(54, 34)
(1, 35)
(5, 35)
(31, 35)
(36, 35)
(39, 35)
(55, 35)
(2, 36)
(5, 36)
(6, 36)
(9, 36)
(32, 36)
(35, 36)
(37, 36)
(40, 36)
(3, 37)
(6, 37)
(7, 37)
(10, 37)
(33, 37)
(36, 37)
(38, 37)
(41, 37)
(4, 38)
(7, 38)
(8, 38)
(11, 38)
(34, 38)
(37, 38)
(42, 38)
(5, 39)
(9, 39)
(35, 39)
(40, 39)
(43, 39)
(6, 40)
(9, 40)
(10, 40)
(13, 40)
(36, 40)
(39, 40)
(41, 40)
(44, 40)
(7, 41)
(10, 41)
(11, 41)
(14, 41)
(37, 41)
(40, 41)
(42, 41)
(45, 41)
(8, 42)
(11, 42)
(12, 42)
(15, 42)
(38, 42)
(41, 42)
(46, 42)
(9, 43)
(13, 43)
(39, 43)
(44, 43)
(47, 43)
(10, 44)
(13, 44)
(14, 44)
(17, 44)
(40, 44)
(43, 44)
(45, 44)
(48, 44)
(11, 45)
(14, 45)
(15, 45)
(18, 45)
(41, 45)
(44, 45)
(46, 45)
(49, 45)
(12, 46)
(15, 46)
(16, 46)
(19, 46)
(42, 46)
(45, 46)
(50, 46)
(56, 46)
(13, 47)
(17, 47)
(43, 47)
(48, 47)
(57, 47)
(14, 48)
(17, 48)
(18, 48)
(44, 48)
(47, 48)
(49, 48)
(58, 48)
(15, 49)
(18, 49)
(19, 49)
(45, 49)
(48, 49)
(50, 49)
(59, 49)
(16, 50)
(19, 50)
(20, 50)
(46, 50)
(49, 50)
(60, 50)
(31, 51)
(32, 52)
(33, 53)
(34, 54)
(35, 55)
(46, 56)
(47, 57)
(48, 58)
(49, 59)
(50, 60)
